_id,name,role,location,party
50,andrea hazell,"Member, Standing Committee on Finance and Economic Affai",Scarborough—Guildwood,Ontario Liberal Party
51,christine hogarth,"hair, Standing Committee on Social Policy Parliamentary Assistant to the Minister of Red Tape Reduction Member, Standing Committee on Finance and Economic Affai",Etobicoke—Lakeshore,Progressive Conservative Party of Ontario
52,kevin holland,Associate Minister of Forestry and Forest Produc,Thunder Bay—Atikokan,Progressive Conservative Party of Ontario
53,ted hsu,"Member, Standing Committee on Procedure and House Affai",Kingston and the Islands,Ontario Liberal Party
54,sarah jama,"Member, Standing Committee on Government Agenci",Hamilton Centre,Independent
55,sylvia jones,Deputy Premier Minister of Health,Dufferin—Caledon,Progressive Conservative Party of Ontario
56,trevor jones,Associate Minister of Emergency Preparedness and Resp,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario
57,john jordan,"Parliamentary Assistant to the Minister of Agriculture, Food and Agribusiness Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on the Interi",Lanark—Frontenac—Kingston,Progressive Conservative Party of Ontario
58,logan kanapathi,"Parliamentary Assistant to the Minister of Children, Community and Social Services Parliamentary Assistant to the Minister of Citizenship and Multiculturalism Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Markham—Thornhill,Progressive Conservative Party of Ontario
59,bhutila karpoche,"itic, Affordability Critic, GTA Issues First Deputy Chair of the Committee of the Whole H",Parkdale—High Park,New Democratic Party of Ontario
60,vincent ke,,Don Valley North,Independent
61,terence kernaghan,"itic, Economic Development, Job Creation and Trade Deputy Opposition House Leader Member, Standing Committee on Finance and Economic Affai",London North Centre,New Democratic Party of Ontario
62,michael s kerzner,Solicitor Genera,York Centre,Progressive Conservative Party of Ontario
63,andrea khanjin,"Minister of the Environment, Conservation and Park",Barrie—Innisfil,Progressive Conservative Party of Ontario
64,natalia kusendova bashta,Minister of Long-Term Ca,Mississauga Centre,Progressive Conservative Party of Ontario
65,anthony leardi,"Deputy Government House Leader Parliamentary Assistant to the Minister of Health Member, Standing Committee on Social Policy",Essex,Progressive Conservative Party of Ontario
66,stephen lecce,Minister of Energy and Electrificati,King—Vaughan,Progressive Conservative Party of Ontario
67,neil lumsden,Minister of Sp,Hamilton East—Stoney Creek,Progressive Conservative Party of Ontario
68,lisa macleod,,Nepean,Progressive Conservative Party of Ontario
69,sol mamakwa,"itic, Indigenous and Treaty Relations Critic, Northern Development Deputy Leader, Official Opposition Vice-Chair, Standing Committee on Justice Policy",Kiiwetinoong,New Democratic Party of Ontario
70,michael mantha,,Algoma—Manitoulin,Independent
71,robin martin,"Parliamentary Assistant to the President of the Treasury Board Member, Standing Committee on Government Agencies Member, Standing Committee on Public Acc",Eglinton—Lawrence,Progressive Conservative Party of Ontario
72,todd j mccarthy,Minister of Public and Business Service Delivery and Procurem,Durham,Progressive Conservative Party of Ontario
73,karen mccrimmon,"Member, Standing Committee on the Interi",Kanata—Carleton,Ontario Liberal Party
74,graham mcgregor,Associate Minister of Auto Theft and Bail Reform,Brampton North,Progressive Conservative Party of Ontario
75,mary margaret mcmahon,"Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Beaches—East York,Ontario Liberal Party
76,caroline mulroney,Minister of Francophone Affairs President of the Treasury Board,York—Simcoe,Progressive Conservative Party of Ontario
77,sam oosterhoff,Associate Minister of Energy-Intensive Industri,Niagara West,Progressive Conservative Party of Ontario
78,billy pang,"Parliamentary Assistant to the Minister of Education Member, Standing Committee on Government Agencies Member, Standing Committee on Social Policy",Markham—Unionville,Progressive Conservative Party of Ontario
79,michael parsa,"Minister of Children, Community and Social Servic",Aurora—Oak Ridges—Richmond Hill,Progressive Conservative Party of Ontario
80,chandra pasma,"itic, Education Vice-Chair, Standing Committee on Government Agenci",Ottawa West—Nepean,New Democratic Party of Ontario
81,david piccini,"Minister of Labour, Immigration, Training and Skills Developm",Northumberland—Peterborough South,Progressive Conservative Party of Ontario
82,natalie pierre,"Deputy Government Whip Parliamentary Assistant to the Associate Minister of Mental Health and Addictions Parliamentary Assistant to the Minister of Sport Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Burlington,Progressive Conservative Party of Ontario
83,steve pinsonneault,"Parliamentary Assistant to the Minister of Rural Affairs Member, Standing Committee on Government Agencies Member, Standing Committee on the Interi",Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario
84,george pirie,Minister of Mi,Timmins,Progressive Conservative Party of Ontario
85,nolan quinn,Minister of Colleges and Universiti,Stormont—Dundas—South Glengarry,Progressive Conservative Party of Ontario
86,matthew rae,"Parliamentary Assistant to the Minister of Municipal Affairs and Housing Vice-Chair, Standing Committee on Procedure and House Affairs Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Perth—Wellington,Progressive Conservative Party of Ontario
87,tom rakocevic,"hair, Standing Committee on Public Accounts Critic, Auto Insurance Critic, Consumer Protecti",Humber River—Black Creek,New Democratic Party of Ontario
88,kaleed rasheed,,Mississauga East—Cooksville,Independent
89,greg rickford,Minister of Indigenous Affairs and First Nations Economic Reconciliation Minister of Northern Developm,Kenora—Rainy River,Progressive Conservative Party of Ontario
90,brian riddell,"Parliamentary Assistant to the Minister of Public and Business Service Delivery and Procurement Member, Standing Committee on Justice Policy",Cambridge,Progressive Conservative Party of Ontario
91,ross romano,hief Government Whip,Sault Ste. Marie,Progressive Conservative Party of Ontario
92,sheref sabawy,"Parliamentary Assistant to the Minister of Citizenship and Multiculturalism Member, Standing Committee on Public Acc",Mississauga—Erin Mills,Progressive Conservative Party of Ontario
93,amarjot sandhu,"Parliamentary Assistant to the Minister of Infrastructure (Infrastructure) Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Brampton West,Progressive Conservative Party of Ontario
94,prabmeet singh sarkaria,Minister of Transportati,Brampton South,Progressive Conservative Party of Ontario
95,stephane sarrazin,"Parliamentary Assistant to the Associate Minister of Small Business Parliamentary Assistant to the Minister of Francophone Affairs Member, Standing Committee on Justice Policy Member, Standing Committee on Procedure and House Affai",Glengarry—Prescott—Russell,Progressive Conservative Party of Ontario
96,peggy sattler,"hief Opposition Whip Critic, Colleges and Universiti",London West,New Democratic Party of Ontario
97,brian saunderson,"Parliamentary Assistant to the Attorney General Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade Member, Standing Committee on Finance and Economic Affairs Member, Standing Committee on Justice Policy",Simcoe—Grey,Progressive Conservative Party of Ontario
98,mike schreiner,,Guelph,Green Party of Ontario
99,laurie scott,"hair, Standing Committee on Heritage, Infrastructure and Cultural Policy",Haliburton—Kawartha Lakes—Brock,Progressive Conservative Party of Ontario
100,adil shamji,,Don Valley East,Ontario Liberal Party
101,sandy shaw,"itic, Environment, Conservation and Parks Deputy Opposition Whip Member, Standing Committee on the Interi",Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario
102,donna skelly,"hair of the Committee of the Whole House Deputy Speaker Vice-Chair, Standing Committee on Public Acc",Flamborough—Glanbrook,Progressive Conservative Party of Ontario
103,dave smith,"Parliamentary Assistant to the Minister of Finance Member, Standing Committee on Finance and Economic Affai",Peterborough—Kawartha,Progressive Conservative Party of Ontario
104,david smith,"hair, Standing Committee on Government Agencies Parliamentary Assistant to the Minister of Mi",Scarborough Centre,Progressive Conservative Party of Ontario
105,graydon smith,Minister of Natural Resourc,Parry Sound—Muskoka,Progressive Conservative Party of Ontario
106,laura smith,"Parliamentary Assistant to the Minister of Children, Community and Social Services Member, Standing Committee on Government Agencies Member, Standing Committee on Social Policy",Thornhill,Progressive Conservative Party of Ontario
107,jennifer jennie stevens,"itic, Solicitor General Critic, Sport Critic, Tourism Critic, Veterans, Legions and Military Affai",St. Catharines,New Democratic Party of Ontario
108,marit stiles,"itic, Intergovernmental Affairs Leader, New Democratic Party of Ontario Leader, Official Oppositi",Davenport,New Democratic Party of Ontario
109,kinga surma,Minister of Infrastruc,Etobicoke Centre,Progressive Conservative Party of Ontario
110,peter tabuns,"itic, Climate Action Critic, Energy",Toronto—Danforth,New Democratic Party of Ontario
111,nina tangri,Associate Minister of Small Busi,Mississauga—Streetsville,Progressive Conservative Party of Ontario
112,monique taylor,"itic, Children, Community and Social Servic",Hamilton Mountain,New Democratic Party of Ontario
113,vijay thanigasalam,Associate Minister of Housing,Scarborough—Rouge Park,Progressive Conservative Party of Ontario
114,lisa m thompson,Minister of Rural Affai,Huron—Bruce,Progressive Conservative Party of Ontario
115,michael a tibollo,Associate Minister of Mental Health and Addicti,Vaughan—Woodbridge,Progressive Conservative Party of Ontario
116,effie j triantafilopoulos,"Parliamentary Assistant to the Minister of Economic Development, Job Creation and Trade Member, Standing Committee on Justice Policy Member, Standing Committee on Public Acc",Oakville North—Burlington,Progressive Conservative Party of Ontario
117,john vanthof,"mmissioner, Board of Internal Economy Critic, Agriculture, Food and Rural Affairs Critic, Legislative Affairs Opposition House Lead",Timiskaming—Cochrane,New Democratic Party of Ontario
118,lise vaugeois,"itic, Accessibility and Persons with Disabilities Critic, Seniors Critic, WSIB and Injured Work",Thunder Bay—Superior North,New Democratic Party of Ontario
119,daisy wai,"Parliamentary Assistant to the Minister for Seniors and Accessibility Member, Standing Committee on Social Policy",Richmond Hill,Progressive Conservative Party of Ontario
120,jamie west,"itic, Labour, Training and Skills Development Critic, Mining Deputy Opposition Whip Member, Standing Committee on Procedure and House Affai",Sudbury,New Democratic Party of Ontario
121,charmaine a williams,Associate Minister of Women's Social and Economic Opportunity,Brampton Centre,Progressive Conservative Party of Ontario
122,kristyn wong tam,"itic, 2SLGBTQ+ Issues Critic, Attorney General Critic, Small Business Member, Standing Committee on Justice Policy",Toronto Centre,New Democratic Party of Ontario
123,john yakabuski,"Parliamentary Assistant to the Minister of Energy and Electrification Member, Standing Committee on the Interi",Renfrew—Nipissing—Pembroke,Progressive Conservative Party of Ontario
