name,role,location,party,bills,motions
raymond sung joon cho,Minister for Seniors and Accessibility,Scarborough North,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
stan cho,"Minister of Tourism, Culture and Gaming",Willowdale,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
aislinn clancy,"Member, Standing Committee on Social Policy",Kitchener Centre,Green Party of Ontario,"{'bill_name': ['Bill 219, No Free Ride for Fossil Fuels Act, 2024', 'Bill 211, Persons Day Act, 2024', 'Bill 206, Affordable Electric Vehicles and Accessible Charging Act, 2024', 'Bill 170, Keeping People Housed Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-219', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-211', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-206', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-170'], 'explanatory_notes': ['The Bill amends the Municipal Act, 2001 to give a municipality or local board the power to impose fees or charges on a producer, gas distributor, gas transmitter or storage company, as these terms are defined in section 3 of the Ontario Energy Board Act, 1998, for services or activities, costs payable or the use of property. The Act is also amended to provide that a regulation cannot impose conditions and limitations on that power.', 'The Bill proclaims October 18 in each year as Persons Day.', 'The Bill enacts the Affordable Electric Vehicles and Accessible Charging Act, 2024. The Act requires the Minister of Transportation to establish an electric vehicle strategy that aims to increase the affordability of electric vehicles and the accessibility of charging stations. The Act also requires the Minister, as part of the development of the strategy, to consult with such persons, other levels of government and stakeholders as the Minister considers appropriate and to report annually on the actions taken as part of the strategy.', 'The Bill amends the Residential Tenancies Act, 2006, the City of Toronto Act, 2006 and the Municipal Act, 2001 to implement various measures relating to rental accommodation.']}","{'motion_name': ['Motion 124', 'Motion 104', 'Motion 103', 'Motion 98'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_15A5B351-2A24-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_11336D36-2A03-EF11-9F89-6045BD5D95B0', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_9B327AA7-7602-EF11-9F89-000D3A84170A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_D1E8C2A6-BE00-EF11-9F89-000D3AF307CC']}"
steve clark,Government House Leader Parliamentary Assistant to the Premi,Leeds—Grenville—Thousand Islands and Rideau Lakes,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 112, Hazel McCallion Act (Peel Dissolution), 2023', 'Bill 97, Helping Homebuyers, Protecting Tenants Act, 2023', 'Bill 63, St. Thomas - Central Elgin Boundary Adjustment Act, 2023', 'Bill 39, Better Municipal Governance Act, 2022', 'Bill 23, More Homes Built Faster Act, 2022', 'Bill 3, Strong Mayors, Building Homes Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-112', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-97', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-63', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-39', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-23', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-3'], 'explanatory_notes': ['The Bill enacts the Hazel McCallion Act (Peel Dissolution), 2023. Here are some highlights of the Act:', 'Currently, subsection 4 (4) of the Building Code Act, 1992 requires that inspectors necessary for the enforcement of the Act in the areas in which Ontario has jurisdiction be appointed under Part III of the Public Service of Ontario Act, 2006. The subsection is re-enacted to require the Deputy Minister of Municipal Affairs and Housing to appoint those inspectors.', 'The Bill enacts the St. Thomas - Central Elgin Boundary Adjustment Act, 2023, which provides for the annexation of a portion of the Municipality of Central Elgin to the City of St. Thomas. Various matters are dealt with, including the application of by-laws, resolutions and official plans, the continuation of procedures in process and arrangements with respect to real property taxes. Provision is made for payments between the respective municipalities, as may be required and determined by regulation. The Minister is authorized to make orders providing for the closure of public highways. The annexed area is described in the Schedule. However, the Minister is authorized to make regulations prescribing the annexed area and, if the Minister does so, that description is deemed to be the annexed area as of the effective date and the description in the Schedule is deemed not to have been the annexed area.', 'The Schedule amends the City of Toronto Act, 2006 by adding section 226.9.1. Section 226.9.1 provides that if the head of council is of the opinion that a by-law could potentially advance a prescribed provincial priority, the head of council may propose the by-law and require city council to consider and vote on the proposed by-law at a meeting. The by-law is passed if more than one third of the members of city council vote in favour of the by-law.', 'The Schedule amends section 111 of the City of Toronto Act, 2006 to give the Minister the authority to make regulations imposing limits and conditions on the powers of the City to prohibit and regulate the demolition and conversion of residential rental properties under that section.', 'The Schedule amends the City of Toronto Act, 2006 by adding a new Part V1.1 which sets out the special powers and duties of the head of council. The following powers and duties are assigned to the head of council under this Part:']}","{'motion_name': ['Motion 26', 'Motion 25', 'Motion 82'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/government-motions/#motion_6EA1E58E-F79A-EF11-8A6A-002248B2E8A8', 'https://www.ola.org/en/legislative-business/status-business/government-motions/#motion_FCC6D08D-5092-EF11-8A6A-002248AFD5B2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_373F941A-4AD6-EE11-904D-6045BD60D367']}"
lorne coe,"hair, Standing Committee on Justice Policy Parliamentary Assistant to the Premi",Whitby,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 65, Honouring Our Veterans Act, 2023', 'Bill PR55, Mount Pleasant Group of Cemeteries Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-65', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr55'], 'explanatory_notes': ['The Bill amends the Remembrance Week Act, 2016 to require members of the Legislative Assembly, on the last sessional day before Remembrance Day in each year, to pause and observe two minutes of silence in honour of those who died serving their country in wars and in peacekeeping efforts. Members are also permitted to make speeches.', 'The purpose of the Bill is set out in the Preamble.']}","{'motion_name': [], 'motion_href': []}"
lucille collard,"Third Deputy Chair of the Committee of the Whole House Member, Standing Committee on Public Acc",Ottawa—Vanier,Ontario Liberal Party,"{'bill_name': ['Bill 209, Black Maternal Health and Reproductive Justice Month Act, 2024', 'Bill 179, Fewer Backlogs and Less Partisan Tribunals Act, 2024', ""Bill 133, Kids' Online Safety and Privacy Month Act, 2024"", 'Bill 128, Disability Pride Month Act, 2023', 'Bill 41, Protection from Coerced Debts Incurred in relation to Human Trafficking Act, 2023', 'Bill 37, Notwithstanding Clause Limitation Act, 2022', 'Bill Pr32, Allied Contractors (Kitchener) Limited Act, 2024', 'Bill 22, Poet Laureate of Ontario Amendment Act (French-language Poet Laureate of Ontario), 2022', 'Bill 20, Access to Sexual Assault Evidence Kits and Provision of Sexual Assault Education Act, 2022', 'Bill 6, Foreign Credentials Advisory Committee Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-209', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-179', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-133', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-128', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-41', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-37', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr32', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-22', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-20', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-6'], 'explanatory_notes': ['The Bill proclaims the month of April in each year as Black Maternal Health and Reproductive Justice Month.', 'The Bill enacts the Fewer Backlogs and Less Partisan Tribunals Act, 2024 and makes related amendments to the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2009. The major elements of the Act are set out below.', 'The Bill proclaims the month of September in each year as Kids’ Online Safety and Privacy Month.', 'The Bill proclaims the month of July in each year as Disability Pride Month.', 'The Bill amends the Consumer Reporting Act and the Prevention of and Remedies for Human Trafficking Act, 2017. The Consumer Reporting Act is amended to prohibit the inclusion in consumer reports of information respecting any coerced debt. The Prevention of and Remedies for Human Trafficking Act, 2017 is amended to add a new Part IV, which provides for the concept of a coerced debt, that being a debt incurred as a result of the debtor being subjected to human trafficking. The provisions of this new Part prohibit the collection of coerced debts and prohibit persons or entities from taking them into consideration when determining whether to provide credit services or products to the debtor. In the case of a dispute between a creditor and a debtor as to whether a debt is a coerced debt, either may apply to a prescribed individual or group of individuals for a determination.', 'The Bill enacts the Notwithstanding Clause Limitation Act, 2022. The Act would provide that bills cannot invoke the notwithstanding clause in the Canadian Charter of Rights and Freedoms except in certain circumstances.', '1 Allied Contractors (Kitchener) Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The Poet Laureate of Ontario Act (In Memory of Gord Downie), 2019 is amended to provide for an English-language Poet Laureate of Ontario and a French-language Poet Laureate of Ontario. Amendments are made to the Act to reflect there being two Poet Laureates of Ontario. The Act is also amended to require that at least two members of the selection panel for a French-language Poet Laureate of Ontario be capable of evaluating the original French-language works of the candidates for the position.', 'The Bill makes amendments with respect to sexual assault evidence kits and sexual assault education.', 'The Bill enacts the Foreign Credentials Advisory Committee Act, 2022.']}","{'motion_name': [], 'motion_href': []}"
stephen crawford,Associate Minister of Mi,Oakville,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill PR50, The Oakville Players Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr50'], 'explanatory_notes': ['The purpose of the Bill is set out in the Preamble.']}","{'motion_name': ['Motion 51'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_9FDE9BAA-A9DF-ED11-8846-000D3AF4F44A']}"
rudy cuzzetto,"Parliamentary Assistant to the Minister of Energy and Electrification Member, Standing Committee on Public Accounts Member, Standing Committee on the Interi",Mississauga—Lakeshore,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 66, Heart Valve Disease Awareness Act, 2024', 'Bill PR57, Judy Hatt Consulting Inc. Act, 2024', 'Bill PR56, The Oakville Players Act, 2024', 'Bill Pr42, Luso Canadian Charitable Society Act (Tax Relief), 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-66', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr57', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr56', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr42'], 'explanatory_notes': ['This reprint of the Bill is marked to indicate the changes that were made in Committee.', '1 Judy Hatt Consulting Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The purpose of the Bill is set out in the Preamble.', '1 In this Act,']}","{'motion_name': ['Motion 81'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_388439E1-30D0-EE11-904D-6045BD60D227']}"
jess dixon,"Parliamentary Assistant to the Associate Minister of Women's Social and Economic Opportunity Member, Standing Committee on Justice Policy Member, Standing Committee on Public Acc",Kitchener South—Hespeler,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 145', 'Motion 85'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_75C6E730-C3A5-EF11-B8E8-000D3AE860D8', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_ED3D4F11-C0E6-EE11-A203-0022483CC08F']}"
andrew dowie,"Parliamentary Assistant to the Minister of the Environment, Conservation and Parks Member, Standing Committee on Government Agencies Member, Standing Committee on the Interi",Windsor—Tecumseh,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 193, Provincial Parks and Conservation Reserves Amendment Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-193'], 'explanatory_notes': ['The Bill amends the Provincial Parks and Conservation Reserves Act to add Urban Class Parks as a new class of provincial park, the objective of which is to improve access to compatible nature-based recreation in or near urban centres. The Bill also authorizes the Lieutenant Governor in Counsel to make regulations adding new classes of provincial parks and specifying objectives for such parks.']}","{'motion_name': ['Motion 15'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_AAEE1008-7D2F-ED11-9DB0-000D3AF41FC2']}"
doug downey,Attorney Genera,Barrie—Springwater—Oro-Medonte,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 220, Election Finances Amendment Act (Quarterly Allowances), 2024', 'Bill 157, Enhancing Access to Justice Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-220', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-157'], 'explanatory_notes': ['The Election Finances Act is amended to continue quarterly allowances for registered parties and registered constituency associations for 2025 and 2026. The commencement of the amendments that would end such allowances is changed from January 1, 2025 to January 1, 2027.', 'The Schedule amends the Architects Act to establish a limited licence to engage in the practice of architecture. Conditions of a limited licence would be set out by regulations made under the Act. Consequential amendments are made throughout the Act, and to two other Acts, to reflect the addition of limited licences. These include the addition of an offence respecting the use of the title “Licensed Technologist” by a person who is not the holder of a limited licence or certificate of practice.']}","{'motion_name': [], 'motion_href': []}"
jill dunlop,Minister of Educati,Simcoe North,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 166, Strengthening Accountability and Student Supports Act, 2024', 'Bill 26, Strengthening Post-secondary Institutions and Students Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-166', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-26'], 'explanatory_notes': ['The Bill amends the Ministry of Training, Colleges and Universities Act with respect to colleges of applied arts and technology and publicly-assisted universities. The amendments include the following:', 'The Ministry of Training, Colleges and Universities Act is amended to add a new section setting out rules respecting sexual misconduct toward students by employees of publicly-assisted universities and colleges of applied arts and technology, and to address related matters.']}","{'motion_name': [], 'motion_href': []}"
victor fedeli,"hair of Cabinet Minister of Economic Development, Job Creation and Trad",Nipissing,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
catherine fife,"itic, Finance Critic, Treasury Board Vice-Chair, Standing Committee on Finance and Economic Affai",Waterloo,New Democratic Party of Ontario,"{'bill_name': [""Bill 189, Lydia's Law (Accountability and Transparency in the Handling of Sexual Assault Cases), 2024"", 'Bill 169, Removing Red Tape for Homeowners (No More Pushy, High-Pressure HVAC Scams) Act, 2024', 'Bill 122, Ontario Consumer Watchdog Act, 2023', 'Bill 21, Fixing Long-Term Care Amendment Act (Till Death Do Us Part), 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-189', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-169', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-122', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-21'], 'explanatory_notes': ['The Bill enacts Lydia’s Law (Accountability and Transparency in the Handling of Sexual Assault Cases), 2024. Section 2 of the Act provides that the Attorney General shall prepare and publish a progress report describing the extent to which the Ministry of the Attorney General has implemented certain recommendations set out in the Auditor General’s Report and shall lay the progress report before the Assembly. Section 3 of the Act requires the Standing Committee on Justice Policy to establish a working group to review the progress report and report on their review to the Assembly. Section 4 of the Act provides that the Attorney General shall review the efficiency of the Victim Quick Response Program and report the results of the review to the Assembly. Section 5 of the Act requires police services that receive a sexual assault complaint from persons who are 16 years of age or older to make the person aware of the Independent Legal Advice Program.', 'Section 54 of the Personal Property Security Act is amended to provide that a notice of security interest where the collateral is a prescribed consumer good or an extension of any such notice shall not be registered and any such existing registrations shall be discharged by the registrar. Section 74.1 is amended to give authority to the Minister to prescribe consumer goods for the purposes of subsections 54 (7) and (8).', 'The Bill enacts the Ontario Consumer Watchdog Act, 2023. The Act requires the Minister, in consultation with relevant stakeholders and the public, to develop and implement a plan to establish an independent consumer watchdog organization that is responsible for overseeing consumer protection matters in Ontario. The Act provides that the plan shall include the steps the Minister intends to take to establish the organization, the powers and duties of the organization, the role of the organization in relation to other regulatory bodies and such other matters as the Minister considers advisable. The Minister must publish the plan on a Government of Ontario website as well as prepare and table a progress report on the plan in the Legislative Assembly.', 'The Bill amends the Residents’ Bill of Rights set out in section 3 of the Fixing Long-Term Care Act, 2021 by adding the right of residents not to be separated from their spouse upon admission but to have accommodation made available for both spouses so that they may continue to live together.']}","{'motion_name': ['Motion 110', 'Motion 101'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_AC7FFFD2-3512-EF11-9F89-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_CEE1A9B8-A901-EF11-9F89-0022483C53EC']}"
rob flack,"Minister of Agriculture, Food and Agribusi",Elgin—Middlesex—London,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 115, Harvest Season Road Safety Week Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-115'], 'explanatory_notes': ['The Bill proclaims the week beginning on the third Monday of September in each year as Harvest Season Road Safety Week.']}","{'motion_name': ['Motion 46', 'Motion 43'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_6BD49C88-67CE-ED11-A7C5-002248D511E3', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_1A148F97-9ECD-ED11-A7C5-002248D511E3']}"
doug ford,"Leader, Progressive Conservative Party of Ontario Minister of Intergovernmental Affairs Premi",Etobicoke North,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 1, An Act to perpetuate an ancient parliamentary right'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-1'], 'explanatory_notes': ['1 This Bill is introduced before consideration of the Throne Speech to perpetuate the established right of Parliament, through the representatives elected by the people, to sit and act without leave from the Crown.']}","{'motion_name': [], 'motion_href': []}"
michael d ford,Minister of Citizenship and Multiculturalism,York South—Weston,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 218, Honouring Veterans Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-218'], 'explanatory_notes': ['The Building Opportunities in the Skilled Trades Act, 2021 is amended to provide that a certificate of qualification in a trade may be issued to a member or veteran of the Canadian Armed Forces who holds a prescribed credential with respect to the trade.']}","{'motion_name': [], 'motion_href': []}"
john fraser,,Ottawa South,Ontario Liberal Party,"{'bill_name': ['Bill 208, Sacred Spaces, Safe Places Act, 2024', 'Bill 179, Fewer Backlogs and Less Partisan Tribunals Act, 2024', 'Bill 104, 10 Paid Sick Days for Ontario Workers Act, 2023', 'Bill 95, Making the Patient Ombudsman an Officer of the Assembly Act, 2023', 'Bill 54, WSIB Coverage for Workers in Residential Care Facilities and Group Homes Act, 2023', 'Bill Pr25, Superior Corporate Services Limited Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-208', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-179', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-104', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-95', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-54', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr25'], 'explanatory_notes': ['The Bill enacts the Sacred Spaces, Safe Places Act, 2024.', 'The Bill enacts the Fewer Backlogs and Less Partisan Tribunals Act, 2024 and makes related amendments to the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2009. The major elements of the Act are set out below.', 'The Bill makes the following amendments to the Employment Standards Act, 2000:', 'The Bill amends the Excellent Care for All Act, 2010 to make the patient ombudsman an officer of the Assembly.', 'The Workplace Safety and Insurance Act, 1997 is amended to provide that an employer who operates a residential care facility or a group home is a Schedule 1 employer for the purposes of the Act.', '1 Superior Corporate Services Limited is revived and is, subject to any property, rights, privileges or franchises acquired by any person after its dissolution, restored to its legal position, and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved, except that any property, rights, privileges or franchises that forfeited to and vested in the Crown upon dissolution, apart from those acquired by any person after its dissolution, remain forfeited to and vested in the Crown and shall not be returned to Superior Corporate Services Limited except in the manner provided in the Forfeited Corporate Property Act, 2015, the Escheats Act, 2015 or the Mining Act, or as otherwise directed by the Ontario Superior Court of Justice.']}","{'motion_name': ['Motion 59', 'Motion 14'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_A36827C0-E9FF-ED11-8F6C-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_EAC4B030-F52D-ED11-9DB1-002248D51D1B']}"
jennifer k french,"hair, Standing Committee on Procedure and House Affairs Critic, Highways Critic, Infrastructure Critic, Transportati",Oshawa,New Democratic Party of Ontario,"{'bill_name': ['Bill 199, EV-Ready Homes Act (Electric Vehicle Charging), 2024', 'Bill 90, Anti-Scab Labour Act, 2023', 'Bill 89, Anti-Scab Labour Act, 2023', 'Bill 15, Fairness for Road Users Act (Contraventions Causing Death or Serious Bodily Harm), 2023', 'Bill Pr4, Quadcard Entertainment Ltd. Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-199', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-90', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-89', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-15', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr4'], 'explanatory_notes': ['The Bill amends the Building Code Act, 1992 to add a new section 15. Section 15 provides that in constructing a house to which the section applies, the builder shall ensure that a minimum 200 amp panel board, a conduit that is not less than 27 mm trade size and is equipped with a means to allow cables to be pulled into the conduit and a square 4-11/16 inch trade size electrical outlet box are installed in the garage or carport or adjacent to the driveway. This is required in order to permit the future installation of electric vehicle supply equipment that conforms to section 86 of the Electrical Safety Code.', 'The Bill restores the provisions that were incorporated into the Labour Relations Act by the Labour Relations and Employment Statute Law Amendment Act, 1992 and subsequently repealed by the Labour Relations Act, 1995.', '', 'The Bill amends the Highway Traffic Act. If a person causes or contributes to causing an accident which causes death or serious bodily harm, and at the time the person was contravening the Highway Traffic Act or its regulations, then the person is guilty of an offence. The court may sentence the person to a fine of up to $50,000, or to imprisonment for up to two years, or to both. The court may also suspend the person’s driver’s licence or permit.', '1 Quadcard Entertainment Ltd. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 109'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_FB5F1482-5E11-EF11-9F89-002248B1AE9E']}"
dawn gallagher murphy,"Parliamentary Assistant to the Minister of Natural Resources Member, Standing Committee on Procedure and House Affairs Member, Standing Committee on the Interi",Newmarket—Aurora,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 70, Seniors Month Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-70'], 'explanatory_notes': ['The Bill proclaims the month of June in each year as Seniors Month.']}","{'motion_name': ['Motion 92'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_F514C5CF-60F7-EE11-A1FE-6045BD61612F']}"
wayne gates,"itic, Long-Term Care, Retirement Homes and Home Ca",Niagara Falls,New Democratic Party of Ontario,"{'bill_name': ['Bill 144, Healthcare Staffing Agencies Act, 2023', 'Bill 132, Supporting Economic Recovery and Renewal in the Niagara Region Act, 2023', 'Bill 89, Anti-Scab Labour Act, 2023', ""Bill 86, Advisory Committee to Protect Ontario's People and Economy from Airborne Pandemics Act, 2023"", 'Bill 76, Respecting Workers in Health Care and in Related Fields Act, 2023', 'Bill 57, Respecting Injured Workers Act (Workplace Safety and Insurance Amendment), 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-144', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-132', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-89', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-86', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-76', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-57'], 'explanatory_notes': ['The Bill enacts the Healthcare Staffing Agencies Act, 2023. The Act provides that every hospital and long-term care home in a municipality with a population of 8,000 or more shall develop a plan to limit its spending on healthcare staffing agencies in accordance with a specified timeline.', 'The Bill amends the Liquor Tax Act, 1996 to provide an exception for certain wines to the tax set out in subsection 27 (1).', '', 'The Bill enacts the Advisory Committee to Protect Ontario’s People and Economy from Airborne Pandemics Act, 2023. The Act provides that the Standing Committee on Social Policy shall establish an Advisory Committee to Protect Ontario’s People and Economy from Airborne Pandemics. The Advisory Committee shall make recommendations to the Minister of Health and the Standing Committee on Social Policy to improve Ontario’s infrastructure, regulations and standards relating to indoor air quality in non-residential workplaces and public settings.', 'The Bill enacts the Respecting Workers in Health Care and in Related Fields Act, 2023, which requires the Minister to take all necessary steps to ensure the following:', 'In calculating the amount of payments to an injured worker, the Workplace Safety and Insurance Act, 1997 considers the earnings that a worker is able to earn in suitable and available work. Currently, the Workplace Safety and Insurance Board may decide that a worker is able to earn amounts that they are not actually earning, on the basis of suitable and available work they do not actually have. The amendments would prevent that from happening unless the worker refused employment in bad faith.']}","{'motion_name': ['Motion 94', 'Motion 22'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_472915C9-C9FC-EE11-9F89-002248AFCBA1', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_0256A830-A36A-ED11-81AC-000D3AF41FC2']}"
